Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,Without You (feat. Sandro Cavazza),"spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5JYo7gm2dkyLLlWHjxS7Dy","Avicii, Sandro Cavazza",spotify:album:1m3mf7xkXIwssVriaaTjOS,AVĪCI (01),spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,Avicii,2017-08-10,https://i.scdn.co/image/ab67616d0000b273a26cc58b4d64c2ece3376389,1,4,181672,,true,72,SE5R71700101,,2023-12-06T09:48:52Z
spotify:track:0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),"spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","David Guetta, Sia",spotify:album:5aprcHwM1KJhaY9Kbxkfkn,Nothing but the Beat 2.0,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,2011-08-24,https://i.scdn.co/image/ab67616d0000b273a197a2ef3ad6704d1f44aa4e,1,1,245040,https://p.scdn.co/mp3-preview/6c3e9bbcebdbfa7875c6a56c2bb4da2a870c250b?cid=9950ac751e34487dbbe027c4fd7f8e99,false,71,GB28K1100036,,2023-12-06T09:45:24Z
spotify:track:4dvjEKAqEvJa80MPFMLMf2,We Found Love,spotify:artist:5A4Y3bNCidVYXfJF2wpTm2,In A Hopeless Place,spotify:album:4vGgZbHw4oqk7hprw8i0Sv,We Found Love (In A Hopeless Place),spotify:artist:5A4Y3bNCidVYXfJF2wpTm2,In A Hopeless Place,2011-10-03,https://i.scdn.co/image/ab67616d0000b27349a10481a65f80a9300fb999,1,1,215742,https://p.scdn.co/mp3-preview/c405d3e9f9ef482eef74a104fb593a6781f86db2?cid=9950ac751e34487dbbe027c4fd7f8e99,false,52,USQY51160287,,2023-12-06T09:45:21Z
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,"spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:26VFTg2z8YR0cCuwLzESi2","The Chainsmokers, Halsey",spotify:album:0rSLgV8p5FzfnqlEk4GzxE,Closer,"spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:26VFTg2z8YR0cCuwLzESi2","The Chainsmokers, Halsey",2016-07-29,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,1,1,244960,https://p.scdn.co/mp3-preview/cfd565c4d3c621771e6d25d99749b9fc200e396c?cid=9950ac751e34487dbbe027c4fd7f8e99,false,86,USQX91601347,,2023-12-06T09:45:20Z
spotify:track:5rgy6ghBq1eRApCkeUdJXf,We Are Young (feat. Janelle Monáe),"spotify:artist:5nCi3BB41mBaMH9gfr6Su0, spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","fun., Janelle Monáe",spotify:album:7m7F7SQ3BXvIpvOgjW51Gp,Some Nights,spotify:artist:5nCi3BB41mBaMH9gfr6Su0,fun.,2012-02-14,https://i.scdn.co/image/ab67616d0000b273a036e1724bc7f2bab15cfda8,1,3,250626,https://p.scdn.co/mp3-preview/71127da3ad33d0423fb257f079a2333caec0b0bf?cid=9950ac751e34487dbbe027c4fd7f8e99,false,77,USAT21101399,,2023-12-06T09:43:54Z
spotify:track:4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,One Direction,spotify:album:6cunQQ7YZisYOoiFu2ywIq,Up All Night,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,One Direction,2012-05-25,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,1,1,199986,https://p.scdn.co/mp3-preview/3abcba42a4cb3566c4840c29fd6695459065b1ae?cid=9950ac751e34487dbbe027c4fd7f8e99,false,84,GBHMU1100018,,2023-12-06T09:43:29Z
spotify:track:47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,spotify:album:6J84szYCnMfzEcvIcfWMFL,Doo-Wops & Hooligans,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,2010-05-11,https://i.scdn.co/image/ab67616d0000b273f60070dce96a2c1b70cf6ff0,1,2,220734,https://p.scdn.co/mp3-preview/6d1a901b10c7dc609d4c8628006b04bc6e672be8?cid=9950ac751e34487dbbe027c4fd7f8e99,false,80,USAT21001269,,2023-12-06T09:43:11Z
spotify:track:2hHLbkatPwOOmrNxTiD41L,I Really Like You,spotify:artist:6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,spotify:album:2oj3FG6fos7zAQJxLQGzou,Emotion (Deluxe Expanded Edition),spotify:artist:6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,2015-08-21,https://i.scdn.co/image/ab67616d0000b2735708b3925c13b1b8d6fac466,1,3,204763,,false,70,USUM71501431,,2023-12-06T09:35:10Z
spotify:track:1kPpge9JDLpcj15qgrPbYX,Good Time,"spotify:artist:07QEuhtrNmmZ0zEcqE9SF6, spotify:artist:6sFIWsNpZYqfjUpaCgueju","Owl City, Carly Rae Jepsen",spotify:album:7gTFf2EWBONpjKVjpWbs5p,The Midsummer Station,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6,Owl City,2012-08-17,https://i.scdn.co/image/ab67616d0000b273cf5459850259268f98b07f7a,1,7,205933,,false,76,USUM71206288,,2023-12-06T09:35:05Z
spotify:track:0SiywuOBRcynK0uKGWdCnn,Bad Romance,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,spotify:album:6rePArBMb5nLWEaY9aQqL4,The Fame Monster (Deluxe Edition),spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,2009-11-05,https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,1,1,294573,,true,84,USUM70918596,,2023-12-05T09:36:59Z
